日期,最高温,最低温,天气,风力风向
2024-12-01 星期日,15℃,-1℃,多云,西北风 2级
2024-12-02 星期一,4℃,-4℃,晴,西北风 3级
2024-12-03 星期二,9℃,-3℃,晴~多云,西北风 2级
2024-12-04 星期三,8℃,-2℃,晴,西北风 2级
2024-12-05 星期四,9℃,-2℃,晴~阴,西北风 3级
2024-12-06 星期五,7℃,-3℃,多云~阴,西北风 2级
2024-12-07 星期六,4℃,-5℃,晴,西北风 3级
2024-12-08 星期日,6℃,-6℃,晴,西北风 1级
2024-12-09 星期一,6℃,-3℃,多云~晴,西北风 1级
2024-12-10 星期二,6℃,-2℃,阴~多云,东北风 2级
2025-01-01 星期三,5℃,-4℃,晴,北风 2级
2025-01-02 星期四,9℃,-0℃,阴,西风 2级
2025-01-03 星期五,11℃,8℃,晴,东南风 3级
2025-01-04 星期六,-2℃,-6℃,多云,西风 3级
2025-01-05 星期日,2℃,1℃,大雪,东风 3级
2025-01-06 星期一,6℃,-2℃,晴,西北风 4级
2025-01-07 星期二,6℃,-1℃,多云,西北风 4级
2025-01-08 星期三,0℃,-4℃,晴,西北风 4级
2025-01-09 星期四,1℃,-6℃,晴,西北风 3级
2025-01-10 星期五,4℃,-7℃,晴,北风 2级
2025-02-01 星期六,0℃,-5℃,多云,西南风 2级
2025-02-02 星期日,4℃,-3℃,多云,北风 4级
2025-02-03 星期一,1℃,-5℃,晴,北风 4级
2025-02-04 星期二,2℃,-6℃,多云,北风 4级
2025-02-05 星期三,1℃,-6℃,晴,西北风 4级
2025-02-06 星期四,-1℃,-10℃,多云,西北风 5级
2025-02-07 星期五,-5℃,-12℃,晴,西北风 5级
2025-02-08 星期六,-2℃,-10℃,晴,西北风 4级
2025-02-09 星期日,-1℃,-8℃,多云,西南风 2级
2025-02-10 星期一,3℃,-6℃,晴,北风 2级
2025-03-01 星期六,14℃,7℃,重度雾霾,东南风 2级
2025-03-02 星期日,11℃,4℃,小雨,东南风 3级
2025-03-03 星期一,8℃,2℃,阴,南风 2级
2025-03-04 星期二,9℃,3℃,多云,南风 3级
2025-03-05 星期三,11℃,2℃,晴,南风 2级
2025-03-06 星期四,12℃,4℃,多云,北风 3级
2025-03-07 星期五,10℃,5℃,阴,南风 3级
2025-03-08 星期六,15℃,4℃,轻度雾霾,南风 3级
2025-03-09 星期日,17℃,6℃,中度雾霾,南风 3级
2025-03-10 星期一,18℃,8℃,轻度雾霾,南风 3级
2025-04-01 星期二,21℃,10℃,多云,北风 4级
2025-04-02 星期三,17℃,8℃,多云,东风 4级
2025-04-03 星期四,20℃,10℃,多云,南风 3级
2025-04-04 星期五,22℃,10℃,多云,西北风 5级
2025-04-05 星期六,22℃,11℃,多云,西风 3级
2025-04-06 星期日,24℃,10℃,晴,东南风 3级
2025-04-07 星期一,27℃,12℃,多云,北风 4级
2025-04-08 星期二,24℃,14℃,阴,南风 4级
2025-04-09 星期三,23℃,13℃,多云,南风 3级
2025-04-10 星期四,27℃,13℃,多云,南风 3级
2025-05-01 星期四,26℃,17℃,多云,西北风 4级
2025-05-02 星期五,24℃,15℃,阴,北风 4级
2025-05-03 星期六,25℃,15℃,晴,西北风 4级
2025-05-04 星期日,26℃,16℃,阴,西南风 3级
2025-05-05 星期一,24℃,14℃,小雨,东南风 3级
2025-05-06 星期二,22℃,16℃,多云,南风 2级
2025-05-07 星期三,28℃,14℃,多云,南风 4级
2025-05-08 星期四,27℃,16℃,小雨,南风 3级
2025-05-09 星期五,19℃,11℃,中雨,北风 4级
2025-05-10 星期六,26℃,12℃,多云,西北风 4级
2025-06-01 星期日,27℃,21℃,阴,南风 3级
2025-06-02 星期一,31℃,20℃,多云,西北风 5级
2025-06-03 星期二,31℃,20℃,晴,北风 4级
2025-06-04 星期三,36℃,21℃,晴,西风 3级
2025-06-05 星期四,40℃,25℃,阴,西南风 3级
2025-06-06 星期五,38℃,26℃,多云,西北风 3级
2025-06-07 星期六,34℃,25℃,阴,南风 4级
2025-06-08 星期日,36℃,24℃,晴,南风 3级
2025-06-09 星期一,37℃,22℃,多云,西北风 5级
2025-06-10 星期二,36℃,24℃,晴,西北风 3级
2025-07-01 星期二,33℃,25℃,小雨,东南风 3级
2025-07-02 星期三,36℃,27℃,小雨,南风 3级
2025-07-03 星期四,39℃,24℃,多云,东南风 3级
2025-07-04 星期五,39℃,25℃,多云,南风 3级
2025-07-05 星期六,38℃,29℃,多云,西北风 4级
2025-07-06 星期日,37℃,29℃,多云,南风 3级
2025-07-07 星期一,37℃,28℃,大雨,东南风 3级
2025-07-08 星期二,37℃,26℃,阴,东南风 3级
2025-07-09 星期三,36℃,27℃,阴,东南风 3级
2025-07-10 星期四,34℃,25℃,阴,东南风 3级
2025-08-01 星期五,32℃,23℃,晴,东南风 2级
2025-08-02 星期六,33℃,25℃,多云,南风 3级
2025-08-03 星期日,32℃,25℃,小雨,东北风 2级
2025-08-04 星期一,29℃,26℃,小雨,南风 3级
2025-08-05 星期二,30℃,23℃,小雨,东南风 2级
2025-08-06 星期三,34℃,24℃,晴,东风 2级
2025-08-07 星期四,31℃,24℃,多云,东风 2级
2025-08-08 星期五,27℃,23℃,中雨,东南风 2级
2025-08-09 星期六,32℃,22℃,晴,东风 2级
2025-08-10 星期日,32℃,24℃,晴,西南风 3级
2025-09-01 星期一,30℃,22℃,晴,南风 2级
2025-09-02 星期二,29℃,22℃,多云,南风 3级
2025-09-03 星期三,30℃,23℃,小雨,南风 3级
2025-09-04 星期四,29℃,22℃,多云,南风 3级
2025-09-05 星期五,24℃,21℃,小雨,北风 3级
2025-09-06 星期六,28℃,18℃,晴,南风 3级
2025-09-07 星期日,29℃,18℃,多云,南风 2级
2025-09-08 星期一,28℃,18℃,小雨,南风 3级
2025-09-09 星期二,28℃,18℃,中雨,北风 6级
2025-09-10 星期三,28℃,21℃,晴,东南风 3级
2025-10-01 星期三,28℃,17℃,阴,南风 2级
2025-10-02 星期四,26℃,19℃,多云,南风 3级
2025-10-03 星期五,26℃,18℃,多云,东南风 2级
2025-10-04 星期六,26℃,17℃,阴,南风 2级
2025-10-05 星期日,17℃,12℃,小雨,西风 3级
2025-10-06 星期一,19℃,15℃,小雨,南风 2级
2025-10-07 星期二,23℃,14℃,多云,北风 2级
2025-10-08 星期三,18℃,10℃,中雨,南风 3级
2025-10-09 星期四,14℃,10℃,中雨,东风 2级
2025-10-10 星期五,15℃,11℃,中雨,南风 3级
2025-11-01 星期六,27℃,14℃,晴,东北风 1级
2025-11-02 星期日,14℃,6℃,晴,北风 3级
